분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A 연료연소_3 수송_d 국내해운,2457.37339,1041.3054,1145.13367,4346.25126,3700.84348,3655.74256,1974.54623,2599.81247,2218.77865,2071.7302,2767.99449,2514.25503,2920.50402,3040.56694,2896.68479,2793.47221,2697.881,2601.77546,2638.82176,2440.87618,2282.86855,2276.75479,2158.61466,1417.49259,1016.12124,1649.82407,1415.498,1347.18542,1027.84973,1224.94962,1000.51557,1286.58696,1381.9302
A 연료연소_3 수송_e 기타수송,451.26445,324.08364,341.0691,240.26185,332.07641,293.04993,395.8906,396.42155,468.19385,260.72488,292.76675,758.89314,350.68985,368.54255,328.14365,335.09898,338.78591,360.31045,354.87297,388.23196,381.2878,412.51056,402.6653,424.5845,473.76798,631.47488,786.4854,785.10228,488.51559,397.5796,132.9625,90.51401,67.97576
A 연료연소_4 기타,69343.34242,64560.44293,65990.0067,68263.11704,67827.45572,73901.73913,78279.31084,79931.24217,62140.27543,72182.98168,69684.58171,67652.77583,67903.64763,65599.30904,61705.21739,61578.0077,59468.28209,57766.42747,56397.27536,55045.77822,57908.56102,56453.29905,54843.74944,53757.47387,47988.11669,48937.8563,50868.08347,51964.96912,51987.58438,49133.89723,47502.97087,47239.78537,47714.50612
A 연료연소_4 기타_a 상업/공공,26662.27554,27448.47724,32077.7165,37258.08729,39231.85464,44346.50615,47189.69758,48601.34827,35283.51513,38086.53318,29976.22641,25329.23822,24838.21516,24740.02791,22739.73536,19952.27952,18288.6862,19517.18272,18528.90273,17877.34473,18489.8099,18235.0794,17854.39574,17415.19335,15704.22452,17504.86016,18120.71356,18654.14847,17658.97181,15914.66207,13334.34666,13235.19877,13633.04706
A 연료연소_4 기타_b 가정,36949.86825,31545.15111,27685.34037,24013.4703,20552.57072,21003.12534,21533.11231,20795.89165,17414.92866,23935.48848,29057.81797,30337.84469,31288.44182,30587.58952,29785.84469,32848.89367,32495.0201,29922.20809,30609.63388,29793.56765,31851.36626,31143.8935,30002.86213,29194.52792,26737.82053,26539.64154,28436.12011,29329.16287,30567.15616,29203.8759,29708.41764,30025.58142,30462.28545
A 연료연소_4 기타_c 농업/임업/어업,5731.19863,5566.81458,6226.94984,6991.55944,8043.03036,8552.10764,9556.50095,10534.00225,9441.83164,10160.96002,10650.53732,11985.69291,11776.99066,10271.69161,9179.63734,8776.83451,8684.57579,8327.03666,7258.73875,7374.86583,7567.38486,7074.32615,6986.49157,7147.75261,5546.07164,4893.3546,4311.2498,3981.65778,3761.45641,4015.35925,4460.20657,3979.00518,3619.17361
A 연료연소_4 기타_c 농업/임업/어업_농업/임업,3123.6379,2956.13865,3355.38293,3796.89528,4221.32786,4466.63193,5395.33033,6146.89105,5450.10017,6632.75122,6876.68245,7810.8504,7644.51181,6270.08462,5446.61629,5396.20783,5310.93938,5069.42068,4727.00419,4537.35564,4789.8016,4562.30974,4529.10149,4523.08753,3128.28843,2159.63885,1404.88779,1199.02946,1208.14068,1149.56349,1442.13497,1428.70663,1300.50848
A 연료연소_4 기타_c 농업/임업/어업_3 어업,2607.56073,2610.67594,2871.5669,3194.66416,3821.7025,4085.47571,4161.17062,4387.11119,3991.73147,3528.2088,3773.85487,4174.84251,4132.47885,4001.60698,3733.02105,3380.62668,3373.63641,3257.61598,2531.73456,2837.51019,2777.58326,2512.0164,2457.39008,2624.66508,2417.78321,2733.71575,2906.36201,2782.62831,2553.31573,2865.79576,3018.07159,2550.29855,2318.66513
A 연료연소_5 미분류,182.31403,4676.03747,2954.35588,3162.18934,2850.6172,2824.45635,3082.22565,2933.80349,2664.74508,2736.22516,2412.02485,3122.54418,2842.1755,3326.81541,3154.58448,3233.76045,2854.88864,2911.19383,2605.14653,2881.06963,2952.17506,2884.99652,2933.29387,2987.47962,2867.42936,3105.88843,3080.78854,3203.48775,3129.45205,2954.83145,2920.48699,2932.12676,3028.2553
B 탈루,186.97941,163.5683,130.06945,102.69513,80.97593,62.39473,54.13917,49.47164,47.85246,46.19094,45.80071,42.23939,36.8872,36.71818,44.56852,56.32329,53.35868,48.86436,42.34609,51.88335,49.45539,45.16638,44.5347,42.80785,35.3516,29.22134,27.33674,33.46898,28.83213,25.28245,21.04836,13.86867,10.62662
